Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Name
8.3,6.7,35.2,2.5,3.5,Celtis australis
5.0,4.0,12.6,1.5,11.9,Tilia cordata
4.0,3.0,7.1,1.2,4.5,Carpinus betulus
10.0,6.0,28.3,3.0,9.9,Carpinus betulus
4.0,2.0,3.1,1.2,3.8,Tilia cordata
14.0,12.5,122.7,4.2,5.0,Celtis australis
4.0,2.0,3.1,1.2,6.7,Carpinus betulus
17.0,8.0,50.3,5.1,2.2,Celtis australis
9.0,6.0,28.3,2.7,14.2,Tilia cordata
7.0,3.0,7.1,2.1,5.2,Platanus x hispanica
8.0,8.0,50.3,2.4,10.1,Platanus x hispanica
12.0,7.0,38.5,3.6,47.3,Aesculus hippocastanum
7.0,6.0,28.3,2.1,2.5,Celtis australis
9.0,7.0,38.5,2.7,3.7,Celtis australis
4.0,4.0,12.6,1.2,7.7,Aesculus hippocastanum
4.0,3.0,7.1,1.2,9.2,Carpinus betulus
6.0,4.0,12.6,1.8,14.1,Carpinus betulus
5.0,4.0,12.6,1.5,3.7,Celtis australis
9.0,7.0,38.5,2.7,3.7,Celtis australis
4.0,2.5,4.9,1.2,3.0,Tilia cordata
13.0,7.0,38.5,3.9,34.2,Aesculus hippocastanum
9.0,7.0,38.5,2.7,3.4,Celtis australis
6.0,4.0,12.6,1.8,5.6,Tilia cordata
6.0,4.0,12.6,1.8,16.5,Aesculus hippocastanum
19.0,12.0,113.1,5.7,54.7,Platanus x hispanica
7.0,6.0,28.3,2.1,10.9,Platanus x hispanica
9.0,8.0,50.3,2.7,3.1,Celtis australis
4.0,1.5,1.8,1.2,2.2,Tilia cordata
7.0,7.0,38.5,2.1,12.6,Platanus x hispanica
4.0,1.5,1.8,1.2,3.0,Carpinus betulus
10.0,8.0,50.3,3.0,3.6,Celtis australis
4.0,2.0,3.1,1.2,7.3,Carpinus betulus
6.4,4.4,14.9,1.9,6.8,Tilia cordata
6.0,4.0,12.6,1.8,2.6,Celtis australis
5.0,3.0,7.1,1.5,6.0,Aesculus hippocastanum
4.0,2.5,4.9,1.2,3.0,Tilia cordata
20.0,12.0,113.1,6.0,14.6,Platanus x hispanica
13.0,17.0,227.0,3.9,5.8,Celtis australis
7.0,6.0,28.3,2.1,8.6,Tilia cordata
10.0,5.0,19.6,3.0,10.2,Tilia cordata
4.0,2.0,3.1,1.2,1.6,Celtis australis
3.0,4.0,12.6,0.9,5.6,Carpinus betulus
3.5,2.0,3.1,1.0,3.4,Aesculus hippocastanum
7.0,6.0,28.3,2.1,6.5,Tilia cordata
5.5,3.0,7.1,1.7,2.8,Celtis australis
10.0,4.0,12.6,3.0,33.7,Aesculus hippocastanum
13.0,8.0,50.3,3.9,12.6,Carpinus betulus
4.5,1.0,0.8,1.3,2.2,Tilia cordata
9.0,5.0,19.6,2.7,2.6,Celtis australis
9.0,5.0,19.6,2.7,10.5,Carpinus betulus
8.0,6.0,28.3,2.4,2.7,Celtis australis
8.5,6.0,28.3,2.6,2.8,Celtis australis
10.0,7.0,38.5,3.0,13.1,Aesculus hippocastanum
6.0,6.0,28.3,1.8,2.5,Celtis australis
5.0,4.0,12.6,1.5,2.7,Celtis australis
4.0,2.5,4.9,1.2,3.0,Tilia cordata
3.0,2.0,3.1,0.9,6.7,Carpinus betulus
6.0,4.0,12.6,1.8,6.1,Carpinus betulus
3.0,1.0,0.8,0.9,2.9,Aesculus hippocastanum
4.0,1.5,1.8,1.2,3.0,Carpinus betulus
3.0,9.6,72.5,0.9,2.5,Platanus x hispanica
4.0,2.0,3.1,1.2,2.6,Tilia cordata
8.0,6.0,28.3,2.4,6.0,Tilia cordata
8.0,2.0,3.1,2.4,4.5,Carpinus betulus
4.5,4.0,12.6,1.3,3.8,Tilia cordata
10.0,3.0,7.1,3.0,4.5,Carpinus betulus
7.0,6.0,28.3,2.1,27.2,Aesculus hippocastanum
8.0,7.0,38.5,2.4,2.4,Celtis australis
12.0,6.0,28.3,3.6,8.4,Aesculus hippocastanum
7.0,5.0,19.6,2.1,3.9,Celtis australis
18.0,12.0,113.1,5.4,22.5,Tilia cordata
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
10.0,7.0,38.5,3.0,17.9,Carpinus betulus
3.0,9.6,72.5,0.9,2.5,Platanus x hispanica
8.0,7.0,38.5,2.4,9.4,Platanus x hispanica
6.0,6.0,28.3,1.8,16.5,Aesculus hippocastanum
4.0,5.0,19.6,1.2,2.2,Celtis australis
4.0,4.0,12.6,1.2,2.1,Celtis australis
6.0,3.0,7.1,1.8,7.9,Aesculus hippocastanum
7.5,6.0,28.3,2.3,2.0,Celtis australis
4.0,3.0,7.1,1.2,7.9,Carpinus betulus
5.0,3.0,7.1,1.5,4.2,Tilia cordata
5.0,3.0,7.1,1.5,3.0,Tilia cordata
13.0,11.5,103.9,3.9,5.1,Celtis australis
8.0,3.0,7.1,2.4,4.5,Carpinus betulus
12.0,13.0,132.7,3.6,49.7,Aesculus hippocastanum
11.0,10.0,78.5,3.3,34.8,Platanus x hispanica
13.0,11.0,95.0,3.9,57.4,Platanus x hispanica
4.0,3.0,7.1,1.2,1.8,Celtis australis
18.0,11.0,95.0,5.4,61.5,Platanus x hispanica
7.0,11.0,95.0,2.1,3.4,Celtis australis
5.0,3.0,7.1,1.5,4.5,Carpinus betulus
8.0,6.0,28.3,2.4,3.1,Celtis australis
4.0,2.0,3.1,1.2,7.9,Carpinus betulus
